City ID,City,Country,Date,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed
201,Qaanaaq,GL,2022-04-04 02:21:40,77.484,-69.3632,10.65,67,86,7.81
202,Stephenville,US,2022-04-04 02:28:27,32.2207,-98.2023,75.16,49,0,11.99
203,Miraflores,MX,2022-04-04 02:28:27,19.2167,-98.8083,74.05,34,31,4.52
204,Kushmurun,KZ,2022-04-04 02:28:27,52.4503,64.6311,37.06,82,96,10.02
205,Touros,BR,2022-04-04 02:22:17,-5.1989,-35.4608,76.84,91,87,8.75
206,Upernavik,GL,2022-04-04 02:21:40,72.7868,-56.1549,13.87,82,94,3.38
207,Rio Gallegos,AR,2022-04-04 02:28:28,-51.6226,-69.2181,35.65,75,0,10.36
208,Cockburn Town,TC,2022-04-04 02:22:51,21.4612,-71.1419,78.33,81,5,13.96
209,Inhambane,MZ,2022-04-04 02:21:39,-23.865,35.3833,75.22,74,0,8.52
210,Cubuk,TR,2022-04-04 02:28:28,40.2386,33.0322,43.77,60,0,3.44
211,Puerto Cabezas,NI,2022-04-04 02:28:28,14.0351,-83.3888,77.74,80,97,6.78
212,Panguma,SL,2022-04-04 02:28:29,8.1833,-11.1333,72.57,89,88,1.48
213,Comodoro Rivadavia,AR,2022-04-04 02:23:19,-45.8667,-67.5,57.06,41,0,23.02
214,Bacabal,BR,2022-04-04 02:28:29,-4.2917,-44.7917,74.53,96,98,3.38
215,Stornoway,GB,2022-04-04 02:28:29,58.2093,-6.3865,49.96,94,100,25.32
216,Kalmunai,LK,2022-04-04 02:22:33,7.4167,81.8167,79.56,80,87,2.59
217,San Gabriel,US,2022-04-04 02:28:30,34.0961,-118.1058,65.03,74,100,9.22
218,Ilulissat,GL,2022-04-04 02:22:58,69.2167,-51.1,21.22,93,23,0.0
219,Patacamaya,BO,2022-04-04 02:28:30,-17.2333,-67.9167,46.11,84,39,5.5
220,Itarema,BR,2022-04-04 02:21:52,-2.9248,-39.9167,76.39,92,64,8.16
221,Ostrovnoy,RU,2022-04-04 02:28:30,68.0531,39.5131,13.3,92,93,6.64
222,Vardo,NO,2022-04-04 02:21:40,70.3705,31.1107,27.63,68,98,11.54
223,Nova Granada,BR,2022-04-04 02:22:21,-20.5339,-49.3142,79.05,75,33,6.62
224,Torbay,CA,2022-04-04 02:17:48,47.6666,-52.7314,34.57,87,20,23.02
225,Svetlogorsk,BY,2022-04-04 02:28:31,52.6333,29.7333,22.37,85,38,5.77
226,Illela,NG,2022-04-04 02:28:31,13.7292,5.2975,80.89,8,97,3.31
227,Sturgeon Bay,US,2022-04-04 02:28:31,44.8342,-87.377,35.58,100,75,5.75
228,Henties Bay,NA,2022-04-04 02:22:41,-22.116,14.2845,60.3,88,0,4.23
229,Shu,KZ,2022-04-04 02:28:32,43.5983,73.7614,54.86,58,100,3.47
230,Vila Velha,BR,2022-04-04 02:19:40,-20.3297,-40.2925,78.75,83,75,3.44
231,Vokhma,RU,2022-04-04 02:28:32,58.9303,46.7586,23.9,92,100,5.91
232,Presidencia Roque Saenz Pena,AR,2022-04-04 02:22:08,-26.7852,-60.4388,67.73,98,99,7.36
233,Axim,GH,2022-04-04 02:23:01,4.8699,-2.2405,81.09,85,100,9.46
234,Saintes,FR,2022-04-04 02:28:32,45.6667,-0.75,32.5,73,2,5.77
235,Manati,PR,2022-04-04 02:23:31,18.4275,-66.4921,77.86,85,6,6.71
236,Voyinka,UA,2022-04-04 02:28:33,45.8699,33.9914,40.77,78,100,14.61
237,Vila Franca Do Campo,PT,2022-04-04 02:21:36,37.7167,-25.4333,55.81,70,71,14.2
238,Vilhena,BR,2022-04-04 02:24:09,-12.7406,-60.1458,72.57,86,100,1.92
239,Umm Lajj,SA,2022-04-04 02:23:07,25.0213,37.2685,75.29,62,95,3.0
240,Gat,IL,2022-04-04 02:20:04,31.61,34.7642,70.39,48,0,6.71
241,Zell Am See,AT,2022-04-04 02:28:33,47.3256,12.7944,18.79,95,99,3.67
242,Sena Madureira,BR,2022-04-04 02:28:33,-9.0656,-68.6569,74.7,81,82,2.57
243,Caravelas,BR,2022-04-04 02:22:39,-17.7125,-39.2481,76.57,79,1,5.1
244,Warmbad,NA,2022-04-04 02:28:34,-28.45,18.7333,56.17,64,0,10.58
245,Verona,IT,2022-04-04 02:28:34,45.4167,11.0333,45.01,70,99,3.62
246,Mabaruma,GY,2022-04-04 02:28:34,8.2,-59.7833,72.21,97,49,3.0
247,Aripuana,BR,2022-04-04 02:22:10,-9.1667,-60.6333,74.39,94,97,1.79
248,Sudislavl,RU,2022-04-04 02:28:34,57.8817,41.7083,15.35,98,100,4.09
249,Farah,AF,2022-04-04 02:28:35,32.5,62.5,64.18,10,0,3.65
250,Hvide Sande,DK,2022-04-04 02:24:13,56.0045,8.1294,40.08,89,100,29.75
251,Vangaindrano,MG,2022-04-04 02:28:35,-23.35,47.6,71.24,90,22,4.03
252,Coihaique,CL,2022-04-04 02:17:01,-45.5752,-72.0662,49.95,66,40,5.75
253,Caiaponia,BR,2022-04-04 02:28:35,-16.9567,-51.8103,71.38,74,37,3.27
254,Artyom,AZ,2022-04-04 02:28:35,40.4723,50.333,55.54,64,100,22.1
255,Nanortalik,GL,2022-04-04 02:21:40,60.1432,-45.2371,35.56,81,100,4.97
256,Tahta,EG,2022-04-04 02:28:36,26.7693,31.5021,75.47,15,37,5.64
257,Roald,NO,2022-04-04 02:23:03,62.5833,6.1333,37.76,100,100,10.36
258,Mafinga,TZ,2022-04-04 02:28:36,-7.25,35.0667,63.57,87,58,2.66
259,Saint-Georges,GD,2022-04-04 02:21:52,12.0564,-61.7485,78.48,73,20,19.57
260,Finspang,SE,2022-04-04 02:28:37,58.7058,15.7674,39.47,86,100,7.09
261,Talara,PE,2022-04-04 02:22:00,-4.5772,-81.2719,71.8,86,73,15.21
262,Pervomayskoye,RU,2022-04-04 02:28:37,43.919,46.7102,53.64,74,94,19.37
263,Gribanovskiy,RU,2022-04-04 02:28:37,51.4579,41.9764,33.51,99,100,8.72
264,Trincomalee,LK,2022-04-04 02:28:37,8.5711,81.2335,80.51,79,10,5.1
265,Buenos Aires,AR,2022-04-04 02:24:00,-34.6132,-58.3772,64.13,68,75,4.61
266,Nuuk,GL,2022-04-04 02:22:38,64.1835,-51.7216,34.41,86,20,9.22
267,Sharan,RU,2022-04-04 02:22:01,54.8167,54.0,37.74,97,100,5.91
268,Eyl,SO,2022-04-04 02:22:24,7.9803,49.8164,75.2,86,6,4.12
269,Havoysund,NO,2022-04-04 02:22:32,70.9963,24.6622,28.63,59,100,10.02
270,Sarai Naurang,PK,2022-04-04 02:28:38,32.8259,70.7814,75.6,18,19,4.27
271,Bombay,IN,2022-04-04 02:24:03,19.0144,72.8479,80.58,83,20,4.61
272,Mocuba,MZ,2022-04-04 02:28:38,-16.8392,36.9856,71.71,96,77,3.15
273,Bom Jesus,BR,2022-04-04 02:28:38,-9.0744,-44.3586,79.56,48,97,2.75
274,Chapayevka,UA,2022-04-04 02:28:39,47.4711,36.3451,37.81,94,100,13.09
275,Labrea,BR,2022-04-04 02:28:39,-7.2586,-64.7981,73.53,93,29,2.37
276,Camacha,PT,2022-04-04 02:23:18,33.0833,-16.3333,56.62,58,40,16.11
