City ID,City,Country,Max_Temp,Weather description,Lat,Lng,Hotel Name
511,Biu,NG,89.64,broken clouds,10.6129,12.1946,Emir's Palace
512,Takoradi,GH,82.38,overcast clouds,4.8845,-1.7554,Raybow International Hotel
514,Kulachi,PK,80.17,clear sky,31.9286,70.4592,Technical Zafran Mobile Zon kulachi
518,Maragogi,BR,81.36,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
519,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
524,Amontada,BR,81.01,overcast clouds,-3.3617,-39.8317,Casa do Otávio
525,Loandjili,CG,79.2,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
527,Bartica,GY,82.72,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
532,Mongo,TD,95.95,broken clouds,12.1844,18.693,Résidences du Programme FIDA
533,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
535,Avanigadda,IN,80.2,overcast clouds,16.0215,80.9181,AP Camping
540,Kochi,IN,80.58,few clouds,9.9399,76.2602,Trident Hotel Cochin
541,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
542,Morant Bay,JM,87.71,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
543,Caraballeda,VE,93.36,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
547,Santa Maria Del Oro,MX,83.19,clear sky,25.9333,-105.3667,Hotel Palacio Del Sol
548,Talara,PE,88.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
554,Tecoanapa,MX,83.97,clear sky,16.5167,-98.75,Hotel Manglares
558,Katherine,AU,80.92,clear sky,-14.4667,132.2667,Pine Tree Motel
562,Awjilah,LY,87.57,clear sky,29.1081,21.2869,المنزل
563,Kudahuvadhoo,MV,83.8,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
567,Sinnamary,GF,80.26,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
570,Samana,DO,89.82,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
573,Divinopolis,BR,79.34,overcast clouds,-20.1389,-44.8839,Hotel Fátima
579,Tame,CO,81.7,overcast clouds,6.461,-71.73,Hospedaje Santa Ana
585,Buckeye,US,84.29,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
588,Phalodi,IN,84.69,broken clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
589,Xuddur,SO,85.46,few clouds,4.1213,43.8894,Banjanay Hotel
591,Pak Phanang,TH,79.29,overcast clouds,8.3511,100.202,Green Park Inn Hotel
596,Betioky,MG,77.49,broken clouds,-23.7167,44.3833,Bungalows Acacias Hotel
603,Ardakan,IR,78.53,overcast clouds,32.31,54.0175,Ardakan Hotel
606,Napasar,IN,82.29,overcast clouds,27.9667,73.55,Laxmi Palace
608,Bambous Virieux,MU,79.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
615,Waingapu,ID,77.43,few clouds,-9.6567,120.2641,Pondok Wisata Elim
616,Srivardhan,IN,79.99,broken clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
620,Port-Gentil,GA,80.96,few clouds,-0.7193,8.7815,Fengshui Residence
626,Oussouye,SN,93.38,clear sky,12.485,-16.5469,Auberge du Routard
633,Igboho,NG,88.7,overcast clouds,8.8333,3.75,More Hotet LTD
634,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
636,Road Town,VG,84.24,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
637,Tutoia,BR,80.28,overcast clouds,-2.7619,-42.2744,Pousada Guará's
646,Caucaia,BR,82.35,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
653,Tabas,IR,81.82,few clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
655,Muisne,EC,80.44,few clouds,0.6,-80.0333,Quinta Samay
657,General Bravo,MX,91.18,clear sky,25.8,-99.1667,Hotel Don Joaquin
672,Beeville,US,86.29,overcast clouds,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
673,Fayaoue,NC,81.75,moderate rain,-20.65,166.5333,Chez Dydyce Guesthouse
678,Felipe Carrillo Puerto,MX,93.87,clear sky,19.5833,-88.05,Hotel La Ceiba
681,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
684,Jalalpur Pirwala,PK,84.13,overcast clouds,29.5069,71.2192,Bhatti Easy Paisa Shop
692,Manadhoo,MV,83.43,broken clouds,5.7667,73.3833,Bon Abri maldives
700,Catuday,PH,77.68,few clouds,16.2923,119.8062,Benjie's Kubo & Cottages
710,Bo Phloi,TH,79.32,broken clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
712,Umm Lajj,SA,80.06,overcast clouds,25.0213,37.2685,Moon light Furnished Units
715,Bandarbeyla,SO,79.36,overcast clouds,9.4942,50.8122,JABIR HOTEL
719,Khao Yoi,TH,80.98,overcast clouds,13.2403,99.8243,เปิ้ล ทำเบาะ
722,San Patricio,US,87.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
